id;Titulo;Barrio;Distrito;C.Postal;Direccion;Latitud;Longitud;Descripcion
56;Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE);CiudadUniversitaria;Moncloa-Aravaca;28040;AVENIDA JUAN DE HERRERA 2;40.439657822278555;-3.7278378564088275;Edificio de carácter monumental, construido por Jaime López de Asiaín en 1969.Metro: Ciudad Universitaria (línea 6)Bus: 46, 160, 161, U, 82, G, 132, 83, 133, 162
57;Palacio Real de El Pardo;ElPardo;Fuencarral-ElPardo;28048;CALLE MANUEL ALONSO 8;40.520522342970146;-3.7762390614462853;Recinto en el que se conserva el Palacio, construido sobre el castillo del siglo XV, la Casita del Príncipe, del siglo XVIII y la Quinta del Duque de Arco (Palacete que fue Casa de Labor y sus tierras). Desde 1983 ha sido adecuado para residencia de Jefes de Estado extranjeros en visita oficial.Bus: 601 (Madrid - Colonia Mingorrubio)
58;Palacio Real de Madrid;Palacio;Centro;28013;CALLE BAILEN;40.42075212551193;-3.712699107286406;Construido sobre el solar del antiguo Alcázar tras un incendio en 1734. Proyectado por Juvara en 1735 y construido por Sachet de 1738 a 1764 bajo las influencias del clasicismo barroco. A partir de 1770, Sabatini añadió el ala sudeste y realizó la gran escalera. Es de destacar el gran patio que articula el edificio y la fachada principal que aloja el balcón y Escudo Real.Metro: Ópera (líneas 2, 5 y Ramal Ópera Norte)Bus: 3, 138, 148, 25, 39, 46, 62, 75, C1Cercanías: Príncipe PíoBicimad: Estación 36 (Plaza de Ramales, 1)
59;Panteón de Hombres Ilustres;Pacifico;Retiro;28014;CALLE JULIAN GAYARRE 3;40.40622617519116;-3.683413041846525;La construcción de este edificio responde a dos de las constantes de fines de siglo: la arquitectura historicista y la escultura funeraria. En él reposan trece personajes ilustres de la historia política y militar española.Metro: Estación del Arte (Atocha) (línea 1)Bus: 10, 14, 24, 32, 37, 54, 57, 141, 26, C1, C2, 102Renfe: Atocha
60;Parroquia Santa Cruz;Sol;Centro;28012;CALLE ATOCHA 6;40.414608558946085;-3.705255882048698;Metro: Sol (líneas 1, 2, 3), Tirso de Molina (línea 1).Bus: 50, 26, 32, 6, 65, 18, 23, 17, M1, 31.Cercanías Renfe: Sol (líneas C3 y C4).Bicimad: Estaciones 32 (plaza de la Provincia, 1), 34 (plaza de Jacinto Benavente), 40 (plaza del Conde Romanones, 9).
61;Planetario de Madrid;Legazpi;Arganzuela;28045;AVENIDA PLANETARIO 16;40.392279999540044;-3.684956957448299;Inaugurado el 29 de septiembre de 1986, es un centro dependiente del Área de Cultura y Deportes del Ayuntamiento de Madrid. Durante los años 2016/2017 fue sometido a una profunda renovación tanto tecnológica como de las instalaciones y edificio, posible en virtud de un acuerdo de colaboración entre el Ayuntamiento de Madrid y la Obra Social &ampldquola Caixa&amprdquo &ampndash que incluye dotación de contenidos, renovación de exposiciones y la realización de actividades varias en el campo de la divulgación científica.Siempre con el fin de contribuir a la difusión de la astronomía y de la ciencia en general, tanto entre escolares como entre el público de cualquier edad y condición, posee una variada oferta de proyecciones audiovisuales, exposiciones y actividades (talleres, cursos, conferencias, observaciones públicas...)Las proyecciones que se ofrecen en el Planetario de Madrid se renuevan periódicamente, y tienen una duración aproximada de 30 minutos.Existen dos programaciones básicas diferentes: una activa durante el verano y época de vacaciones escolares, y otra durante el curso escolar. Durante el curso escolar, las proyecciones de las mañanas de los días lectivos se reservan a escolares. Video de presentación del centro    //     Folleto informativo (PDF)    //    Planetario en  Google MapsMetro: Méndez Álvaro (línea 6) Bus: 148, 156 BICIMAD: Estación 177 (Calle Bolívar 3) Planetario en  Google Maps
62;Real Basílica San Francisco el Grande;Palacio;Centro;28005;CALLE SAN BUENAVENTURA 1;40.41084005024222;-3.714503845728281;Conjunto conventual que sustituyó al monasterio franciscano medieval, construido por Francisco de las Cabezas entre 1761 y 1768, que fue relevado por Antonio Polo y que concluye Francisco Sabatini en 1784 donde se exponen colecciones de pinturas de los siglos XVII al XIX.Metro: La Latina (línea 5) , Puerta de Toledo (línea 5)Bus:  3Bicimad: Estación 37 (Plaza San Francisco, 5)
63;Real Fábrica de Tapices;Pacifico;Retiro;28014;CALLE FUENTERRABIA 2;40.406087329011655;-3.682515969574079;Metro: Menéndez Pelayo (línea 1).Bus: 10, 14, 26, 32, C1, C2, 141, 24, 37, 54, 57, 152.Bicimad: Estación 79 (avenida de menéndez Pelayo, 38).
64;Real Monasterio de Santa Isabel;Embajadores;Centro;28012;CALLE SANTA ISABEL 48;40.41213027498252;-3.6994547941964946;El Real Monasterio de Santa Isabel está situado en Madrid, dentro de la ciudad histórica, en una gran manzana, próxima a Atocha.Santa Isabel agrupa dos fundaciones, un colegio de niñas, establecido por Felipe II, y un convento de clausura de monjas agustinas recoletas, fundado por la esposa de Felipe III, doña Margarita de Austria.La arquitectura de la iglesia se debe a Gómez de Mora, de mediados del siglo XVIII. En la clausura se conservan numerosas obras pictóricas de los siglos XVII y XVIII.Metro: Estación del Arte (Atocha) (línea 1)Bus: 26, 32, 6, 27, 34, C1Renfe: Atocha
65;Real Monasterio de la Encarnación;Palacio;Centro;28013;PLAZA ENCARNACION 1;40.41967800877382;-3.711567962866152;Edificio construído por Juan Gómez de Mora de 1611 a 1616 como monasterio anejo al Alcázar Real, modelo de lo que se ha dado en llamar barroco madrileño. Cuenta con la reliquia de San Pantaleón.Metro:  Ópera (líneas 2, 5 y Ramal Ópera Príncipe Pío), Plaza de España (líneas 3, 10)Bus:  3, 25, 39, 148Bicimad: Estación 25 a y b (Plaza Celenque, 1)
66;Templo de Debod;CasaCampo;Moncloa-Aravaca;28008;CALLE FERRAZ 1;40.42425096551599;-3.716531855540272;Templo egipcio dedicado a Amón de Debod y a Isis, construido entre 185 AC y el siglo I de la Era. Fue donado por Egipto a España en 1968, en agradecimiento por la ayuda en el salvamento de los templos de Abu Simbel. Egyptian temple dedicated to Amun of Debod and Isis. It was built between 185 BC and the 1st century. It was donated by Egypt to Spain in 1968 for its help in the rescue of the temples of Abu Simbel.El templo de Debod no cuenta en la actualidad con accesos adaptados a personas con movilidad reducida y la circulación en su interior es igualmente difícil. Debod temple has currently no access adapted for people with reduced mobility.   El templo es un monumento histórico de una antig&ampuumledad de 2.200 años. Su estructura interna, que constituye el espacio de actual de exposición, está formada por distintas salas de dimensiones reducidas, con vanos estrechos y numerosas barreras, que responden a los fines y necesidades de los cultos religiosos que en él tuvieron lugar, pero que imposibilitan la circulación con sillas de ruedas convencionales.  La legislación sobre accesibilidad vigente en nuestra Comunidad (Ley 8/1993 de 22 de Junio de Promoción de la Accesibilidad y Supresión de Barreras Arquitectónicas), en su disposición adicional 7&ampordf, exime de su aplicación en los inmuebles declarados Bien de Interés Cultural o en aquellos edificios de valor histórico-artístico. No obstante, se está trabajando en hacer accesibles las plataformas en las que se levanta el templo y sus dos portales.Metro: Plaza de España (líneas 3 y 10) y Ventura Rodríguez (línea 3) Bus: 1, 2, 3, 25, 39, 44, 46, 74, 75, 133, 138, 148, C1 y C2 Renfe: Príncipe Pío  Bus turístico: Ruta 1. PARADA 10 - Templo de Debod Otras formas de acceso: Aparcamiento de coches: dentro del Área de Estacionamiento Regulado de la ciudad de Madrid. BICIMAD (Servicio público de bicicletas de la ciudad de Madrid): Estación 115 (calle Evaristo San Miguel s/n.,entre Paseo Pintor Rosales y calle Ferraz)
67;The Robot Museum (Museo del Robot);Universidad;Centro;28015;CALLE ALBERTO AGUILERA 1 PLANTA BAJA;40.42949061464909;-3.7068731815207014;El Museo del Robot es un espacio que alberga una de las mayores colecciones de robotsMetro: San Bernardo (líneas 2, 4), Quevedo (líneas 2), Arg&ampuumlelles (líneas 3, 4, 6), Bilbao (líneas 1, 4)Bus: 3, 21, 147Bicimad: Estación 3 (plaza Conde Valle Suchil, 24)
68;Yacimiento paleontológico. Estación de Metro Carpetana;Aluche;Latina;28047;CALLE VIA CARPETANA 328;40.39150793405899;-3.7428839286586184;Durante las obras de remodelación de la estación de Carpetana se descubrieron restos paleontológicos con valiosos hallazgos del Mioceno, lo que ha hecho posible una reconstrucción de los paleoambientes en dos yacimientos verticales.Metro: Carpetana (línea 6)bus: 55, 119, 17, 25
69;Zapadores Ciudad del Arte. Museo Siglo XXI;Valverde;Fuencarral-ElPardo;28034;CALLE ANTONIO DE CABEZON 70;40.49572804745456;-3.6818117500732046;
